vdot,intensity,distance_m,seconds
84,I,1609.34,248.0
84,M,1000,174.0
84,M,1609.34,280.0
84,R,200,27.0
84,R,300,41.0
84,R,400,55.0
84,R,600,74.0
84,R,800,112.0
84,T,400,67.0
84,T,800,134.0
84,T,1000,168.0
84,T,1609.34,270.0
85,E,1000,207.0
85,E,1609.34,333.0
85,I,400,61.0
85,I,1000,153.0
85,I,1200,183.0
85,I,1609.34,245.0
85,M,1000,172.0
85,M,1609.34,277.0
85,R,200,27.0
85,R,300,41.0
85,R,400,55.0
85,R,600,73.0
85,R,800,111.0
85,T,400,66.0
85,T,800,133.0
85,T,1000,166.0
85,T,1609.34,267.0
